player_id,year,date,week,team,location,opponent,result,started,rushing_attempts,rushing_yards,rushing_touchdowns,pass_targets,receptions,receiving_yards,receiving_touchdowns,conversions,fumbles_lost,fumble_touchdowns
PeteAd01,2019,2019-10-24,8,WAS,Away,MIN,L,True,14,76,0,2,2,27,0,0,0,0
PeteAd01,2019,2019-11-03,9,WAS,Away,BUF,L,True,18,108,0,1,1,22,0,0,0,0
PeteAd01,2019,2019-11-17,11,WAS,Home,NYJ,L,True,9,25,0,2,2,5,0,0,0,0
PeteAd01,2019,2019-11-24,12,WAS,Home,DET,W,True,10,27,0,1,1,22,0,0,0,0
PeteAd01,2019,2019-12-01,13,WAS,Away,CAR,W,True,13,99,1,1,0,0,0,0,0,0
PeteAd01,2019,2019-12-08,14,WAS,Away,GNB,L,True,20,76,1,0,0,0,0,0,0,0
PeteAd01,2019,2019-12-15,15,WAS,Home,PHI,L,True,16,66,1,3,3,25,0,0,0,0
PeteAd01,2019,2019-12-22,16,WAS,Home,NYG,L,True,15,36,1,2,2,19,0,0,0,0
PeteAd01,2019,2019-12-29,17,WAS,Away,DAL,L,True,13,78,0,4,1,0,0,0,1,0
PeteAd01,2020,2020-09-13,1,DET,Home,CHI,L,False,14,93,0,3,3,21,0,0,0,0
PeteAd01,2020,2020-09-20,2,DET,Away,GNB,L,False,7,41,0,0,0,0,0,0,0,0
PeteAd01,2020,2020-09-27,3,DET,Away,ARI,W,True,22,75,0,1,1,10,0,0,0,0
PeteAd01,2020,2020-10-04,4,DET,Home,NOR,L,True,11,36,1,2,0,0,0,0,0,0
FulgTr00,2019,2019-12-15,15,DET,Home,TAM,L,False,0,0,0,0,0,0,0,0,0,0
FulgTr00,2019,2019-12-22,16,DET,Away,DEN,L,False,0,0,0,2,0,0,0,0,0,0
FulgTr00,2019,2019-12-29,17,DET,Home,GNB,L,False,0,0,0,1,0,0,0,0,0,0
FulgTr00,2020,2020-10-04,4,PHI,Away,SFO,W,True,0,0,0,3,2,57,1,0,0,0
FulgTr00,2020,2020-10-11,5,PHI,Away,PIT,L,True,0,0,0,13,10,152,1,0,0,0
LandJa00,2014,2014-09-07,1,MIA,Home,NWE,W,False,0,0,0,1,0,0,0,0,0,0
LandJa00,2014,2014-09-14,2,MIA,Away,BUF,L,False,0,0,0,6,5,49,0,0,1,0
LandJa00,2014,2014-09-21,3,MIA,Home,KAN,L,False,0,0,0,7,3,24,0,0,0,0
LandJa00,2014,2014-09-28,4,MIA,Away,OAK,W,False,0,0,0,4,4,38,0,0,1,0
LandJa00,2014,2014-10-12,6,MIA,Home,GNB,L,True,0,0,0,8,6,75,1,0,0,0
LandJa00,2014,2014-10-19,7,MIA,Away,CHI,W,True,0,0,0,5,4,46,0,0,0,0
LandJa00,2014,2014-10-26,8,MIA,Away,JAX,W,True,1,4,0,3,3,23,0,0,0,0
LandJa00,2014,2014-11-02,9,MIA,Home,SDG,W,True,0,0,0,6,5,46,1,0,0,0
LandJa00,2014,2014-11-09,10,MIA,Away,DET,L,True,1,-8,0,10,7,53,0,0,0,0
LandJa00,2014,2014-11-13,11,MIA,Home,BUF,W,False,0,0,0,5,5,46,1,0,1,0
LandJa00,2014,2014-11-23,12,MIA,Away,DEN,L,True,0,0,0,11,7,50,2,0,0,0
LandJa00,2014,2014-12-01,13,MIA,Away,NYJ,W,True,0,0,0,11,8,68,0,0,0,0
LandJa00,2014,2014-12-07,14,MIA,Home,BAL,L,True,0,0,0,6,6,55,0,0,0,0
LandJa00,2014,2014-12-14,15,MIA,Away,NWE,L,True,0,0,0,11,8,99,0,0,0,0
LandJa00,2014,2014-12-21,16,MIA,Home,MIN,W,True,0,0,0,9,8,31,0,0,1,0
LandJa00,2014,2014-12-28,17,MIA,Home,NYJ,L,True,0,0,0,9,5,55,0,0,0,0
LandJa00,2015,2015-09-13,1,MIA,Away,WAS,W,True,1,14,0,12,8,53,0,0,0,0
LandJa00,2015,2015-09-20,2,MIA,Away,JAX,L,True,1,6,0,10,8,110,0,0,0,0
LandJa00,2015,2015-09-27,3,MIA,Home,BUF,L,True,1,-1,0,13,8,67,0,1,0,0
LandJa00,2015,2015-10-04,4,MIA,Home,NYJ,L,True,2,29,0,12,4,40,0,0,0,0
LandJa00,2015,2015-10-18,6,MIA,Away,TEN,W,True,2,24,1,4,3,42,0,0,0,0
LandJa00,2015,2015-10-25,7,MIA,Home,HOU,W,True,1,5,0,5,5,83,2,0,0,0
LandJa00,2015,2015-10-29,8,MIA,Away,NWE,L,True,0,0,0,8,6,71,0,0,0,0
LandJa00,2015,2015-11-08,9,MIA,Away,BUF,L,True,5,20,0,12,10,67,0,0,0,0
LandJa00,2015,2015-11-15,10,MIA,Away,PHI,W,True,1,6,0,12,7,52,1,0,0,0
LandJa00,2015,2015-11-22,11,MIA,Home,DAL,L,False,0,0,0,7,4,66,0,0,0,0
LandJa00,2015,2015-11-29,12,MIA,Away,NYJ,L,True,1,4,0,16,13,165,1,0,0,0
LandJa00,2015,2015-12-06,13,MIA,Home,BAL,W,True,0,0,0,5,2,5,0,0,0,0
LandJa00,2015,2015-12-14,14,MIA,Home,NYG,L,True,1,0,0,18,11,99,0,0,0,0
LandJa00,2015,2015-12-20,15,MIA,Away,SDG,L,False,0,0,0,10,8,54,0,0,0,0
LandJa00,2015,2015-12-27,16,MIA,Home,IND,L,True,0,0,0,11,7,111,0,0,0,0
LandJa00,2015,2016-01-03,17,MIA,Home,NWE,W,True,2,6,0,11,6,72,0,0,0,0
LandJa00,2016,2016-09-11,1,MIA,Away,SEA,L,True,0,0,0,10,7,59,0,0,0,0
LandJa00,2016,2016-09-18,2,MIA,Away,NWE,L,True,0,0,0,13,10,135,0,0,1,0
LandJa00,2016,2016-09-25,3,MIA,Home,CLE,W,True,2,16,0,12,7,120,1,0,0,0
LandJa00,2016,2016-09-29,4,MIA,Away,CIN,L,True,0,0,0,10,7,61,0,0,0,0
LandJa00,2016,2016-10-09,5,MIA,Home,TEN,L,True,1,2,0,3,3,28,0,0,0,0
LandJa00,2016,2016-10-16,6,MIA,Home,PIT,W,True,0,0,0,9,7,91,0,0,0,0
LandJa00,2016,2016-10-23,7,MIA,Home,BUF,W,True,0,0,0,8,5,78,0,1,0,0
LandJa00,2016,2016-11-06,9,MIA,Home,NYJ,W,True,0,0,0,6,3,33,0,0,0,0
LandJa00,2016,2016-11-13,10,MIA,Away,SDG,W,True,0,0,0,6,6,53,0,0,0,0
LandJa00,2016,2016-11-20,11,MIA,Away,LAR,W,True,0,0,0,5,5,28,1,0,0,0
LandJa00,2016,2016-11-27,12,MIA,Home,SFO,W,True,0,0,0,7,4,47,0,0,0,0
LandJa00,2016,2016-12-04,13,MIA,Away,BAL,L,True,1,-1,0,14,11,87,0,0,0,0
LandJa00,2016,2016-12-11,14,MIA,Home,ARI,W,True,0,0,0,6,4,103,0,0,1,0
LandJa00,2016,2016-12-17,15,MIA,Away,NYJ,W,True,0,0,0,4,3,108,1,0,0,0
LandJa00,2016,2016-12-24,16,MIA,Away,BUF,W,True,1,0,0,6,3,29,0,0,0,0
LandJa00,2016,2017-01-01,17,MIA,Home,NWE,L,True,0,0,0,12,9,76,1,0,0,0
LandJa00,2017,2017-09-17,2,MIA,Away,LAC,W,True,1,-7,0,15,13,78,0,0,0,0
LandJa00,2017,2017-09-24,3,MIA,Away,NYJ,L,True,0,0,0,11,6,48,0,0,0,0
LandJa00,2017,2017-10-01,4,MIA,Home,NOR,L,True,0,0,0,7,6,40,0,0,0,0
LandJa00,2017,2017-10-08,5,MIA,Home,TEN,W,True,0,0,0,10,5,44,1,0,0,0
LandJa00,2017,2017-10-15,6,MIA,Away,ATL,W,True,0,0,0,14,8,62,1,0,0,0
LandJa00,2017,2017-10-22,7,MIA,Home,NYJ,W,True,0,0,0,11,7,93,1,0,0,0
LandJa00,2017,2017-10-26,8,MIA,Away,BAL,L,True,0,0,0,12,5,33,0,0,0,0
LandJa00,2017,2017-11-05,9,MIA,Home,OAK,L,True,0,0,0,7,6,32,1,0,0,0
LandJa00,2017,2017-11-13,10,MIA,Away,CAR,L,True,0,0,0,10,5,42,1,0,0,0
LandJa00,2017,2017-11-19,11,MIA,Home,TAM,L,True,0,0,0,11,6,95,1,0,1,0
LandJa00,2017,2017-11-26,12,MIA,Away,NWE,L,True,0,0,0,9,8,70,0,0,0,0
LandJa00,2017,2017-12-03,13,MIA,Home,DEN,W,True,0,0,0,6,5,62,0,0,0,0
LandJa00,2017,2017-12-11,14,MIA,Home,NWE,W,True,0,0,0,8,8,46,2,0,0,0
LandJa00,2017,2017-12-17,15,MIA,Away,BUF,L,True,0,0,0,13,10,99,0,0,0,0
LandJa00,2017,2017-12-24,16,MIA,Away,KAN,L,True,0,0,0,7,5,51,0,0,1,0
LandJa00,2017,2017-12-31,17,MIA,Home,BUF,L,True,0,0,0,10,9,92,1,0,0,0
LandJa00,2018,2018-09-09,1,CLE,Home,PIT,T,False,0,0,0,15,7,106,0,0,0,0
LandJa00,2018,2018-09-16,2,CLE,Away,NOR,L,True,0,0,0,7,5,69,0,0,0,0
LandJa00,2018,2018-09-20,3,CLE,Home,NYJ,W,True,0,0,0,14,8,103,0,0,0,0
LandJa00,2018,2018-09-30,4,CLE,Away,OAK,L,True,0,0,0,10,4,34,1,0,0,0
LandJa00,2018,2018-10-07,5,CLE,Home,BAL,W,True,0,0,0,11,5,69,0,0,0,0
LandJa00,2018,2018-10-14,6,CLE,Home,LAC,L,True,0,0,0,10,2,11,0,0,0,0
LandJa00,2018,2018-10-21,7,CLE,Away,TAM,L,True,0,0,0,15,10,97,1,0,0,0
LandJa00,2018,2018-10-28,8,CLE,Away,PIT,L,True,0,0,0,12,8,39,0,0,0,0
LandJa00,2018,2018-11-04,9,CLE,Home,KAN,L,True,0,0,0,7,6,50,0,0,0,0
LandJa00,2018,2018-11-11,10,CLE,Home,ATL,W,True,0,0,0,5,2,22,0,0,0,0
LandJa00,2018,2018-11-25,12,CLE,Away,CIN,W,True,0,0,0,5,3,30,0,0,0,0
LandJa00,2018,2018-12-02,13,CLE,Away,HOU,L,True,0,0,0,9,6,103,0,0,0,0
LandJa00,2018,2018-12-09,14,CLE,Home,CAR,W,False,2,54,1,4,3,57,1,0,1,0
