id,name,team,team_abbr,position
BeatC.00,C.J. Beathard,San Francisco 49ers,SFO,QB
BellLe00,Le'Veon Bell,New York Jets,NYJ,RB
BoykMi00,Miles Boykin,Baltimore Ravens,BAL,WR
BratCa00,Cameron Brate,Tampa Bay Buccaneers,TAM,TE
GranJa00,Jakeem Grant,Miami Dolphins,MIA,WR
HallMa02,Marvin Hall,Detroit Lions,DET,WR
JohnCo01,Collin Johnson,Jacksonville Jaguars,JAX,WR
RypiBr00,Brett Rypien,Denver Broncos,DEN,QB
ScotBo02,Boston Scott,Philadelphia Eagles,PHI,RB
ThomMi04,Mike Thomas,Cincinnati Bengals,CIN,WR
WhitJa02,James White,New England Patriots,NWE,RB
AlleKy00,Kyle Allen,Washington Football Team,WAS,QB
ArnoDa00,Dan Arnold,Arizona Cardinals,ARI,TE
CephQu00,Quintez Cephus,Detroit Lions,DET,WR
EdwaBr01,Bryan Edwards,Las Vegas Raiders,LVR,WR
GallWa00,Wayne Gallman,New York Giants,NYG,RB
HarrDa06,Damien Harris,New England Patriots,NWE,RB
HiggRa00,Rashard Higgins,Cleveland Browns,CLE,WR
McKeIs00,Isaiah McKenzie,Buffalo Bills,BUF,WR
ReagJa00,Jalen Reagor,Philadelphia Eagles,PHI,WR
SmitJe03,Jeff Smith,New York Jets,NYJ,WR
BarkSa00,Saquon Barkley,New York Giants,NYG,RB
BoylNi00,Nick Boyle,Baltimore Ravens,BAL,TE
CampPa00,Parris Campbell,Indianapolis Colts,IND,WR
HamlKJ00,KJ Hamler,Denver Broncos,DEN,WR
HarrDe07,Deonte Harris,New Orleans Saints,NOR,WR
HollJa03,Jacob Hollister,Seattle Seahawks,SEA,TE
JohnOl00,Olabisi Johnson,Minnesota Vikings,MIN,WR
TaylTy00,Tyrod Taylor,Los Angeles Chargers,LAC,QB
ThomIa00,Ian Thomas,Carolina Panthers,CAR,TE
WatsJu01,Justin Watson,Tampa Bay Buccaneers,TAM,WR
WillDa10,Darrel Williams,Kansas City Chiefs,KAN,RB
WittJa00,Jason Witten,Las Vegas Raiders,LVR,TE
AdamJo03,Josh Adams,New York Jets,NYJ,RB
BallKa00,Kalen Ballage,New York Jets,NYJ,RB
BrowNo00,Noah Brown,Dallas Cowboys,DAL,WR
FreeRo00,Royce Freeman,Denver Broncos,DEN,RB
HernCh00,Chris Herndon,New York Jets,NYJ,TE
HighJo00,John Hightower,Philadelphia Eagles,PHI,WR
JeffVa00,Van Jefferson,Los Angeles Rams,LAR,WR
JohnDu00,Duke Johnson,Houston Texans,HOU,RB
JohnMa07,Marcus Johnson,Indianapolis Colts,IND,WR
LewiMa00,Marcedes Lewis,Green Bay Packers,GNB,TE
McClRa00,Ray-Ray McCloud,Pittsburgh Steelers,PIT,WR
ParhDo00,Donald Parham,Los Angeles Chargers,LAC,TE
PruiMy00,MyCole Pruitt,Tennessee Titans,TEN,TE
ShepSt00,Sterling Shepard,New York Giants,NYG,WR
SimsSt00,Steven Sims,Washington Football Team,WAS,WR
SmitIr01,Irv Smith Jr.,Minnesota Vikings,MIN,TE
WimsJa00,Javon Wims,Chicago Bears,CHI,WR
BellBl00,Blake Bell,Dallas Cowboys,DAL,TE
ErviTy00,Tyler Ervin,Green Bay Packers,GNB,RB
JohnJa12,Jakob Johnson,New England Patriots,NWE,RB
PittMi01,Michael Pittman Jr.,Indianapolis Colts,IND,WR
RodgRi00,Richard Rodgers,Philadelphia Eagles,PHI,TE
SamuDe00,Deebo Samuel,San Francisco 49ers,SFO,WR
ShahAd00,Adam Shaheen,Miami Dolphins,MIA,TE
